,code,open,high,low,close
1963,600730,38.77,39.6,38.01,
1964,600168,18.98,19.08,18.48,
1965,002437,41.0,41.3,39.78,
1966,002732,41.95,41.99,40.6,
1967,002172,17.65,17.65,17.18,
1968,600718,35.66,35.89,34.5,
1969,000040,18.41,18.46,17.6,
1970,600663,75.0,76.45,69.9,
1971,000555,103.4,105.0,100.98,
1972,600853,11.68,11.77,11.33,
1973,002307,20.75,21.04,20.18,
1974,300401,33.69,33.99,33.01,
1975,300413,76.25,78.12,74.0,
1976,600827,26.74,27.7,25.8,
1977,600814,19.24,19.4,18.71,
1978,002681,86.33,86.6,82.39,
1979,000829,26.64,26.81,25.81,
1980,000063,33.25,33.38,32.6,
1981,600363,29.05,29.5,28.0,
1982,002111,42.41,44.68,39.8,
1983,002037,46.6,46.95,45.25,
1984,603609,28.99,29.2,28.28,
1985,601021,135.1,137.99,132.88,
1986,600018,10.73,10.95,10.23,
1987,000028,88.1,88.55,86.5,
1988,300130,136.67,138.8,131.9,
1989,300124,64.99,65.88,63.16,
1990,000060,26.41,26.75,25.69,
1991,601111,13.11,13.38,12.76,
1992,601800,19.18,19.3,18.6,
1993,603309,79.51,80.6,78.21,
1994,002096,32.6,33.44,31.8,
1995,600987,19.7,20.08,19.29,
1996,600701,35.8,37.88,34.78,
1997,002489,47.75,48.77,46.0,
1998,600706,31.0,31.36,30.29,
1999,002254,22.6,22.74,21.91,
2000,601336,66.52,67.28,65.0,
2001,002474,27.6,27.87,26.84,
2002,000906,33.5,33.5,32.23,
2003,603988,69.5,71.13,67.3,
2004,000905,24.02,24.15,23.6,
2005,600328,22.99,23.55,22.4,
2006,600884,39.51,39.61,38.3,
2007,000409,22.9,23.07,22.12,
2008,600225,15.1,16.0,14.6,
2009,002156,27.3,27.57,26.55,
2010,000739,14.3,14.37,13.96,
2011,601390,19.62,19.62,18.95,
2012,002295,32.4,32.83,31.53,
2013,002186,33.86,33.87,32.88,
2014,600510,23.38,23.5,23.0,
2015,000532,32.0,34.0,31.4,
2016,600388,26.48,26.48,25.84,
2017,002733,40.0,40.86,37.93,
2018,300445,186.68,195.9,177.2,
2019,601886,21.31,21.88,20.87,
2020,600288,39.61,39.79,37.01,
2021,600687,45.55,45.55,43.86,
2022,000046,20.49,20.7,19.98,
2023,600483,23.2,23.84,22.68,
2024,300403,72.3,72.6,69.8,
2025,603686,116.5,118.0,112.39,
2026,600392,40.02,40.04,38.2,
2027,600754,41.0,41.7,39.7,
2028,002528,30.08,31.2,29.0,
2029,002410,35.0,35.21,33.82,
2030,000796,40.1,41.68,38.93,
2031,002344,29.76,30.0,28.95,
2032,000426,19.3,19.96,18.5,
2033,000584,30.52,30.99,29.98,
2034,300324,90.31,90.5,88.0,
2035,601002,21.9,21.96,21.31,
2036,002178,24.11,24.34,23.4,
2037,600680,32.49,34.07,31.51,
2038,002082,21.68,22.0,21.13,
2039,603199,62.0,62.46,60.21,
2040,600711,16.3,16.3,15.8,
2041,600332,46.81,47.08,45.9,
2042,002593,36.85,37.3,35.7,
2043,300406,69.49,69.98,67.88,
2044,300243,30.1,30.68,29.41,
2045,300055,39.3,39.79,38.5,
2046,603600,91.88,98.11,89.0,
2047,600171,35.0,35.2,33.8,
2048,300023,52.31,53.86,50.51,
2049,300159,30.82,30.9,29.14,
2050,600101,18.06,18.78,17.79,
2051,300385,93.0,93.7,90.5,
2052,000560,43.53,44.0,42.8,
2053,600835,44.57,46.18,43.3,
2054,002724,42.4,42.65,40.8,
2055,000971,41.1,41.87,40.09,
2056,600844,15.18,15.18,14.59,
2057,300316,23.03,23.65,22.4,
2058,300428,71.04,75.43,68.05,
2059,000756,17.84,17.87,17.25,
2060,300363,55.05,55.88,52.89,
2061,002496,35.88,35.97,34.82,
